Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Minorshome,TotalMnt,TotalPurchases,TotalCampPar,Age
Graduation,Married,77298.0,2013-11-02,46,425.0,115.0,292.0,23.0,35.0,79.0,1,6,6,11,3,0,0,0,0,0,0,0,1,969.0,23,0,34
PhD,Single,68126.0,2012-11-10,40,1332.0,17.0,311.0,23.0,51.0,86.0,1,7,4,5,9,0,1,0,0,0,0,1,0,1820.0,16,1,21
Master,Married,57288.0,2014-06-25,27,527.0,0.0,21.0,0.0,0.0,60.0,3,8,1,8,6,0,1,0,0,0,0,0,1,608.0,17,1,51
Graduation,Single,86037.0,2013-01-02,95,490.0,44.0,125.0,29.0,20.0,22.0,1,6,7,11,3,0,1,1,0,0,0,1,0,730.0,24,2,22
PhD,Married,43974.0,2012-12-12,19,378.0,0.0,101.0,0.0,0.0,72.0,5,6,4,6,7,0,0,0,0,0,0,0,1,551.0,16,0,32
Graduation,Single,50785.0,2013-09-10,27,64.0,1.0,21.0,0.0,1.0,27.0,2,2,1,3,6,0,0,0,0,0,0,0,2,114.0,6,0,51
Graduation,Married,90765.0,2014-01-24,25,547.0,99.0,812.0,151.0,82.0,33.0,0,4,6,5,1,0,0,1,1,0,0,0,0,1724.0,15,2,44
2n Cycle,Married,36550.0,2013-02-19,74,47.0,90.0,94.0,123.0,103.0,120.0,5,9,1,5,9,0,0,0,0,0,0,0,1,577.0,15,0,35
2n Cycle,Married,30753.0,2013-07-11,85,12.0,5.0,25.0,0.0,9.0,30.0,2,1,1,3,5,0,0,0,0,0,0,0,2,81.0,5,0,46
Graduation,Married,21918.0,2013-11-14,37,1.0,6.0,7.0,11.0,5.0,3.0,2,2,0,3,6,0,0,0,0,0,0,0,1,33.0,5,0,44
Master,Married,56129.0,2013-06-20,65,320.0,48.0,133.0,39.0,72.0,48.0,4,6,2,10,4,0,0,0,0,0,0,0,1,660.0,18,0,60
Master,Single,32557.0,2014-02-24,13,34.0,3.0,29.0,0.0,4.0,10.0,3,2,1,3,5,0,0,0,0,0,0,1,1,80.0,6,0,47
Master,Married,19510.0,2013-09-04,63,9.0,0.0,7.0,3.0,4.0,7.0,2,1,0,3,7,0,0,0,0,0,0,0,2,30.0,4,0,28
Graduation,Single,30992.0,2013-04-22,83,17.0,0.0,14.0,7.0,3.0,2.0,1,1,0,3,7,0,0,0,0,0,0,0,1,43.0,4,0,37
Graduation,Single,101970.0,2013-03-12,69,722.0,27.0,102.0,44.0,72.0,168.0,0,6,8,13,2,0,1,1,1,0,0,1,0,1135.0,27,3,30
2n Cycle,Married,71488.0,2013-02-18,87,162.0,33.0,124.0,40.0,28.0,172.0,2,3,4,7,1,0,0,0,0,0,0,0,0,559.0,14,0,48
Graduation,Single,79607.0,2013-04-21,37,450.0,133.0,951.0,173.0,0.0,216.0,1,3,6,6,1,0,0,0,0,0,0,1,0,1923.0,15,0,29
Master,Married,54348.0,2014-06-08,51,70.0,0.0,16.0,0.0,0.0,4.0,2,2,0,4,6,0,0,0,0,0,0,0,2,90.0,6,0,61
PhD,Married,51687.459375,2013-07-11,23,352.0,0.0,27.0,10.0,0.0,15.0,3,6,1,7,6,0,0,0,0,0,0,0,1,404.0,14,0,52
PhD,Married,77376.0,2014-05-10,72,492.0,19.0,110.0,16.0,12.0,12.0,4,6,3,10,4,0,0,0,0,0,0,0,2,661.0,19,0,58
Graduation,Married,62998.0,2013-09-30,10,120.0,58.0,73.0,65.0,89.0,58.0,5,5,4,5,5,0,0,0,0,0,0,0,1,463.0,14,0,61
Master,Single,61331.0,2013-03-10,42,534.0,5.0,47.0,0.0,5.0,41.0,5,11,1,6,8,0,0,0,0,0,0,0,2,632.0,18,0,55
Graduation,Married,73448.0,2014-02-10,10,236.0,106.0,189.0,23.0,41.0,130.0,1,7,2,9,4,0,0,0,0,0,0,0,0,725.0,18,0,45
Graduation,Married,51687.459375,2013-08-11,96,231.0,65.0,196.0,38.0,71.0,124.0,1,6,5,7,4,0,0,0,0,0,0,0,1,725.0,18,0,50
PhD,Married,41551.0,2013-08-14,51,220.0,0.0,33.0,3.0,0.0,23.0,5,5,1,5,8,0,0,0,0,0,0,0,2,279.0,11,0,49
PhD,Married,62981.0,2013-03-17,21,796.0,14.0,590.0,38.0,44.0,0.0,1,4,5,13,3,0,1,0,0,0,0,0,0,1482.0,22,1,46
High School,Single,9548.0,2012-08-08,31,0.0,1.0,3.0,10.0,6.0,9.0,2,1,0,3,8,0,0,0,0,0,0,0,1,29.0,4,0,36
PhD,Married,33762.0,2013-07-07,61,53.0,1.0,34.0,2.0,0.0,16.0,3,2,2,2,8,0,0,0,0,0,0,0,3,106.0,6,0,54
PhD,Single,35860.0,2014-05-19,37,15.0,0.0,8.0,4.0,2.0,20.0,2,1,1,2,5,1,0,0,0,0,0,1,2,49.0,4,1,41
PhD,Single,36921.0,2013-07-28,74,17.0,1.0,12.0,3.0,1.0,4.0,2,2,0,3,7,0,0,0,0,0,0,0,2,38.0,5,0,48
Master,Single,92859.0,2012-10-19,46,962.0,61.0,921.0,52.0,61.0,20.0,1,5,4,12,2,0,0,0,0,0,0,0,0,2077.0,21,0,20
Master,Married,65104.0,2013-11-14,4,738.0,0.0,232.0,13.0,20.0,50.0,2,3,5,7,7,0,0,0,0,0,0,1,1,1053.0,15,0,37
Graduation,Married,86111.0,2013-04-19,73,399.0,28.0,756.0,36.0,40.0,126.0,1,5,7,10,2,0,0,0,0,0,0,0,0,1385.0,22,0,51
PhD,Single,68352.0,2013-08-28,47,614.0,16.0,132.0,43.0,33.0,33.0,3,8,5,9,6,0,0,0,0,0,0,0,1,871.0,22,0,39
Graduation,Married,41883.0,2013-03-19,13,32.0,34.0,41.0,73.0,16.0,116.0,3,4,2,3,7,0,0,0,0,0,0,0,1,312.0,9,0,25
Graduation,Married,59809.0,2012-10-18,36,598.0,16.0,141.0,32.0,41.0,49.0,3,3,3,6,8,0,0,0,0,0,0,0,2,877.0,12,0,36
Graduation,Married,23957.0,2012-10-28,47,2.0,1.0,18.0,20.0,11.0,16.0,1,2,0,3,6,0,0,0,0,0,0,1,1,68.0,5,0,37
Graduation,Married,38547.0,2013-08-28,49,6.0,1.0,10.0,0.0,1.0,4.0,1,1,0,2,8,0,0,0,0,0,1,0,1,22.0,3,0,32
2n Cycle,Married,35688.0,2012-08-22,94,73.0,3.0,90.0,12.0,1.0,32.0,7,4,1,4,8,0,0,0,0,0,0,0,3,211.0,9,0,39
Master,Married,49605.0,2014-06-21,65,42.0,16.0,29.0,12.0,20.0,8.0,1,2,1,4,3,0,0,0,0,0,0,0,0,127.0,7,0,48
Master,Married,59354.0,2014-04-24,59,295.0,21.0,78.0,39.0,13.0,13.0,1,4,4,7,3,0,0,0,0,0,0,0,2,459.0,15,0,61
Graduation,Married,65747.0,2014-03-07,96,346.0,17.0,48.0,23.0,13.0,13.0,4,8,1,6,6,0,1,0,0,0,0,0,1,460.0,15,1,45
2n Cycle,Married,46344.0,2012-12-14,28,233.0,20.0,57.0,8.0,20.0,91.0,4,7,1,5,7,0,0,0,0,0,0,0,1,429.0,13,0,40
Graduation,Single,34176.0,2014-05-12,12,5.0,7.0,24.0,19.0,14.0,20.0,4,3,0,4,6,0,0,0,0,0,0,0,1,89.0,7,0,26
PhD,Married,61010.0,2012-10-09,57,888.0,0.0,57.0,0.0,0.0,76.0,2,8,5,11,5,0,0,0,0,0,0,0,1,1021.0,24,0,60
Graduation,Married,69372.0,2013-02-19,10,997.0,26.0,269.0,34.0,13.0,42.0,1,10,4,6,4,0,1,1,0,0,0,1,0,1381.0,20,2,64
Graduation,Single,49967.0,2013-07-08,4,212.0,6.0,69.0,4.0,12.0,3.0,3,6,1,5,7,0,0,0,0,0,0,0,1,306.0,12,0,55
Graduation,Single,60199.0,2013-09-12,49,8.0,1.0,7.0,2.0,0.0,0.0,1,0,0,3,4,0,0,0,0,0,0,0,3,18.0,3,0,35
Graduation,Married,55375.0,2013-10-17,3,42.0,11.0,57.0,10.0,28.0,14.0,1,1,1,6,2,0,0,0,0,0,0,0,1,162.0,8,0,36
Graduation,Single,80317.0,2013-08-20,64,536.0,11.0,387.0,149.0,91.0,57.0,1,3,4,10,1,0,0,0,0,0,0,0,0,1231.0,17,0,58
Master,Single,30523.0,2013-07-01,0,5.0,0.0,3.0,0.0,0.0,5.0,1,1,0,2,7,0,0,0,0,0,0,0,3,13.0,3,0,55
PhD,Married,70356.0,2012-11-05,20,1349.0,16.0,249.0,43.0,16.0,33.0,2,10,6,9,6,0,0,0,0,0,0,0,0,1706.0,25,0,67
Graduation,Married,23228.0,2014-01-05,91,53.0,3.0,49.0,7.0,4.0,5.0,4,3,0,4,8,0,0,0,0,0,0,0,1,121.0,7,0,30
PhD,Single,74165.0,2013-05-01,9,1001.0,12.0,240.0,16.0,12.0,12.0,1,5,4,10,2,0,0,0,0,0,0,0,0,1293.0,19,0,38
PhD,Married,84017.0,2014-03-01,98,20.0,2.0,1582.0,1.0,2.0,1.0,15,0,22,0,0,0,0,0,0,0,0,0,1,1608.0,22,0,41
